Column Name	Data Type	Source Table	Source Field(s)	Aggregation/Transformation	Join Condition
aiops_site_id	STRING	fwa_combined_inventory_full	site_id	Direct selection from inventory	inventory.mdn = vision.mtn AND inventory.imsi = vision.imsi AND inventory.imei = vision.imei
aiops_account_id	STRING	fixed_fwa_subscriber_fact (CJ)	ecpd_profile_id, cust_id, acct_num	SUBSTR(TO_HEX(MD5(CONCAT(...))), 1, 16) (hashed value)	CJ.MTN = DVC.MTN AND CJ.CUST_ID = DVC.CUST_ID AND CJ.ACCT_NUM = DVC.ACCT_NUM
total_bytes_received	NUMERIC	sha_daily	TotalBytesReceived	AVG(MAX(TotalBytesReceived) - MIN(TotalBytesReceived))	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
total_bytes_sent	NUMERIC	sha_daily	TotalBytesSent	AVG(MAX(TotalBytesSent) - MIN(TotalBytesSent))	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
avg_pdsch_throughput_lte	FLOAT64	sha_daily	LTEPDSCHThroughput	AVG(LTEPDSCHThroughput)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
avg_pusch_throughput_lte	FLOAT64	sha_daily	LTEPUSCHThroughput	AVG(LTEPUSCHThroughput)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
avg_rsrp_4g	FLOAT64	sha_daily	_4GRSRP	AVG(_4GRSRP)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
avg_rsrq_4g	FLOAT64	sha_daily	_4GRSRO	AVG(_4GRSRO)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
mean_sinr	FLOAT64	sha_daily	SNR	AVG(SNR)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
avg_rsrp_5g	FLOAT64	sha_daily	_5GRSRP	AVG(_5GRSRP)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
avg_rsrq_5g	FLOAT64	sha_daily	_5GRSRO	AVG(_5GRSRO)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
mean_sinr_5g	FLOAT64	sha_daily	_5GSNR	AVG(_5GSNR)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
avg_memory_avail	FLOAT64	sha_daily	MemoryAvail	AVG(MemoryAvail)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
avg_memory_percent_free	FLOAT64	sha_daily	MemoryPercentFree	AVG(MemoryPercentFree)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
wifi_device_cnt	INT64	sha_daily	wifi_sta_num	MAX(wifi_sta_num)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
avg_sub6_antenna_temp_5g	FLOAT64	sha_daily	_5GNSub6AntennaTemp	AVG(_5GNSub6AntennaTemp)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
avg_antenna_temp_4g	FLOAT64	sha_daily	_4GAntennaTemp	AVG(_4GAntennaTemp)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
max_mtu_size	FLOAT64	sha_daily	MaxMTUSize	AVG(MaxMTUSize)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
service_uptime	STRING	sha_daily	uptime	MAX(uptime)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
reachability	FLOAT64	sha_daily	COUNT(*)	(COUNT(*) / 288 * 100)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
device_count	INT64	sha_daily	COUNT(*)	COUNT(*)	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
trans_dt	DATE	sha_daily	trans_dt	Direct selection	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
ecpd_profile_id	STRING	inventory	ecpd_profile_id	Direct selection	sha_daily.imsi = inventory.imsi AND sha_daily.imei = inventory.imei
